rank,key,name,affiliation,country,publications,senior_authorships,recent_publications,recency_ratio,trials_led,industry_trials,centrality_raw,focus,top_journals,active_years,region,citation_proxy,c_publications,c_seniority,c_recency,c_trials,c_citations,c_centrality,influence_score,tier,rising_star,whitespace
1451,mennesson_n,Nicolas Mennesson,"Université de Nantes, Institut National de la Santé et de la Recherche Médicale (Inserm), Centre de Recherche en Cancérologie et Immunologie Nantes-Angers (CRCINA), Nantes, France.",France,2,0,1,0.5,0,0,0.03806703647561654,"Antibodies, Monoclonal, Antibodies, Viral, Antiviral Agents, Biomarkers, Disease Progression, Disease Susceptibility","Frontiers in immunology, HemaSphere",2021-2024,Europe,0,27.3,26.0,25.6,44.2,26.0,34.2,30.7,Tier 3,False,False
1452,zhang_n,Nan Zhang,"Hematology Department, First Hospital of Jilin University, Changchun, Jilin, China.",China,2,0,1,0.5,0,0,0.03832222160454353,"Neoplasm, Residual","American journal of hematology, Frontiers in artificial intelligence",2023-2025,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,34.4,30.7,Tier 3,False,False
1453,bigotcorbel_e,Edith Bigot-Corbel,"Université de Nantes, Institut National de la Santé et de la Recherche Médicale (Inserm), Centre de Recherche en Cancérologie et Immunologie Nantes-Angers (CRCINA), Nantes, France.",France,2,0,1,0.5,0,0,0.03806703647561654,"Antibodies, Monoclonal, Antibodies, Viral, Antiviral Agents, Biomarkers, Disease Progression, Disease Susceptibility","Frontiers in immunology, HemaSphere",2021-2024,Europe,0,27.3,26.0,25.6,44.2,26.0,34.2,30.7,Tier 3,False,False
1454,streetly_m,Matthew Streetly,"Guy's and St. Thomas' NHS Foundation Trust, London, United Kingdom.",UK,2,0,0,0.0,0,0,0.06713245692014659,"Hematopoietic Stem Cell Transplantation, Receptors, Chimeric Antigen, Gamma Secretase Inhibitors and Modulators, Neoplasm Recurrence, Local, T-Lymphocytes, Tumor Microenvironment","Cancer research communications, The Lancet. Haematology",2022-2023,Europe,0,27.3,26.0,6.4,44.2,26.0,62.7,30.7,Tier 3,False,False
1455,jung_j,Junho Jung,"Department of Oral and Maxillofacial Surgery, School of Dentistry, Kyung Hee University, Seoul, Korea.",South Korea,2,0,1,0.5,0,0,0.03759348708652708,,"Journal of bone metabolism, Haematologica",2021-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,33.8,30.7,Tier 3,False,False
1456,yao_j,Jianxin Yao,"Department of Hematology, Changshu No.2 People's Hospital, No.18, Taishan Road, Changshu, 21550, Jiangsu Province, China.",China,2,0,1,0.5,0,0,0.036138916189592696,"CD8-Positive T-Lymphocytes, Cytokines, Interleukin-17, Interleukin-6, Programmed Cell Death 1 Receptor, Tumor Necrosis Factor-alpha","European journal of medical research, The Journal of molecular diagnostics : JMD",2022-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,32.7,30.6,Tier 3,False,False
1457,tang_z,Zhuoqin Tang,"Department of Cardiology, West China Hospital, Sichuan University, Chengdu, China.",China,2,0,1,0.5,0,0,0.03603313074735764,"Reactive Oxygen Species, Melphalan, DNA Damage, Apoptosis, Drug Combinations, Allyl Compounds","Frontiers in cardiovascular medicine, Annals of hematology",2021-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,32.6,30.6,Tier 3,False,False
1458,alegria_v,Victoria Alegria,Division of Hematology-Oncology Mayo Clinic Jacksonville Florida USA.,USA,2,0,1,0.5,0,0,0.036200235166178686,,"Clinical case reports, Clinical epidemiology",2021-2026,North America,0,27.3,26.0,25.6,44.2,26.0,32.7,30.6,Tier 3,False,False
1459,weng_y,Yueyun Weng,"The Institute of Technological Sciences, Wuhan University, Wuhan, 430072, China.",China,2,0,1,0.5,0,0,0.035942450831639695,,"Biomedical optics express, Translational cancer research",2022-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,32.4,30.5,Tier 3,False,False
1460,litvin_r,Rafaella Litvin,"Internal Medicine, John H. Stroger, Jr. Hospital of Cook County.",Unknown,2,0,1,0.5,0,0,0.035718372090880766,"Risk Factors, Hospitalization, Hematologic Neoplasms, Scleroderma, Systemic, Leukemia, Lymphoma","ARP rheumatology, Transplantation and cellular therapy",2023-2026,Unknown,0,27.3,26.0,25.6,44.2,26.0,31.8,30.5,Tier 3,False,False
1461,askari_e,Elham Askari,"Fundación Jiménez Díaz, Madrid, Spain.",Spain,2,0,0,0.0,0,0,0.06422909253211255,"Antibodies, Bispecific, Cytokine Release Syndrome, Dysgeusia, Neoplasm Recurrence, Local, Receptors, G-Protein-Coupled, T-Lymphocytes","Oncology and therapy, The New England journal of medicine",2022-2023,Europe,0,27.3,26.0,6.4,44.2,26.0,60.6,30.5,Tier 3,False,False
1462,gong_y,Yan Gong,"Department of Pharmacotherapy and Translational Research, Center for Pharmacogenomics, College of Pharmacy, University of Florida, Gainesville, Florida, USA.",USA,2,0,1,0.5,0,0,0.0359067089343379,"Cardiotoxicity, Immunomodulating Agents, Proteasome Inhibitors, Randomized Controlled Trials as Topic, Animals, Mice","Hematological oncology, Biochemical pharmacology",2022-2025,North America,0,27.3,26.0,25.6,44.2,26.0,32.4,30.5,Tier 3,False,False
1463,harel_s,Stéphanie Harel,"Department of Immuno Hematology, Hôpital Saint-Louis, Assistance Publique Hôpitaux de Paris, Paris, France.",France,2,0,0,0.0,0,0,0.06169312292547778,"Glomerulosclerosis, Focal Segmental, Fanconi Syndrome, Paraffin, Kidney, Kidney Diseases, Renal Insufficiency","Kidney international, Frontiers in immunology",2022-2023,Europe,0,27.3,26.0,6.4,44.2,26.0,59.8,30.4,Tier 3,False,False
1464,owen_r,Roger G Owen,"Haematological Malignancy Diagnostic Service (HMDS), Leeds Cancer Centre, Leeds Teaching Hospitals Trust, Leeds, UK.",Unknown,2,0,0,0.0,0,0,0.06000961937366606,"Dexamethasone, Lenalidomide, Vorinostat, Cyclophosphamide, Elettaria, Hematopoietic Stem Cell Transplantation","British journal of haematology, The Lancet. Haematology",2023-2023,Unknown,0,27.3,26.0,6.4,44.2,26.0,58.1,30.2,Tier 3,False,False
1465,islam_k,Kazi Soumik Islam,"Department of Information Technology, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif 21944, Saudi Arabia.",Saudi Arabia,2,0,1,0.5,0,0,0.033882658481415,"Image Processing, Computer-Assisted, Leukocytes, Machine Learning, Neural Networks, Computer","Contrast media & molecular imaging, Journal, genetic engineering & biotechnology",2021-2025,Middle East / GCC,0,27.3,26.0,25.6,44.2,26.0,28.8,30.2,Tier 3,False,False
1466,tian_m,Mei Tian,"Human Phenome Institute, Fudan University, 825 Zhangheng Road, Shanghai, P.R. China.",China,2,0,0,0.0,0,0,0.05984172374114619,"TNF Receptor-Associated Factor 3, Quality of Life, Osteoclasts, Bone Diseases, Autophagy, Glycosphingolipids","Nature communications, American journal of hematology",2022-2023,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,57.8,30.2,Tier 3,False,False
1467,pavlicek_p,Petr Pavlíček,"Department of Internal Medicine and Hematology, 3rd Faculty of Medicine, Charles University and Faculty Hospital Kralovske Vinohrady, Prague, Czech Republic.",Czech Republic,2,0,1,0.5,0,0,0.03264963928872922,"Czech Republic, Dexamethasone, Routinely Collected Health Data, Thalidomide","Neoplasma, Haematologica",2022-2026,Europe,0,27.3,26.0,25.6,44.2,26.0,27.6,30.1,Tier 3,False,False
1468,zhu_t,Tianfeng Zhu,"Department of Orthopaedics, The First Affiliated Hospital of Soochow University, Soochow University, Suzhou 215006, China.",China,2,0,1,0.5,0,0,0.03171415021411153,"Animals, Mice, Antineoplastic Agents, Bone Diseases, Metabolic, Bortezomib, Osteoporosis","Oxidative medicine and cellular longevity, Frontiers in immunology",2021-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,26.8,30.0,Tier 3,False,False
1469,biswas_a,Amit Kumar Biswas,"Associate Professor, Dept of Immunohematology & Blood Transfusion, Armed Forces Medical College, Pune 40, India.",India,2,0,1,0.5,0,0,0.03192761942648682,,"Medical journal, Armed Forces India, Cureus",2022-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,27.2,30.0,Tier 3,False,False
1470,montesgaisan_c,Carmen Montes Gaisán,"Haematology Department, Hospital Universitario Marqués de Valdecilla, 39008 Cantabria, Spain.",Spain,2,0,1,0.5,0,0,0.031230645686699938,"Bone Marrow, Biopsy","Cancers, Clinical lymphoma, myeloma & leukemia",2022-2025,Europe,0,27.3,26.0,25.6,44.2,26.0,25.8,29.9,Tier 3,False,False
1471,ma_z,Zhen Ma,"Department of Biomedical & Chemical Engineering, The BioInspired Institute for Materials and Living Systems, Syracuse University, Syracuse, New York, USA.",USA,2,0,1,0.5,0,0,0.03138767695810802,"Animals, Cells, Cultured, Chick Embryo, Myocytes, Cardiac, Myofibrils, Pluripotent Stem Cells","Cytoskeleton (Hoboken, N.J.), Biochemical pharmacology",2021-2025,North America,0,27.3,26.0,25.6,44.2,26.0,26.2,29.9,Tier 3,False,False
1472,xia_z,Zhong-Jun Xia,"Department of Hematologic Oncology, Sun Yat-sen University Cancer Center, Guangzhou, China.",China,2,0,1,0.5,0,0,0.03126143813205147,"Gene Expression Profiling, Genetic Heterogeneity, Mesenchymal Stem Cells, Single-Cell Analysis, Chromosome Aberrations, Prognosis","Clinical and translational medicine, BMC cancer",2021-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,26.0,29.9,Tier 3,False,False
1473,tian_y,Ying Tian,"Department of Hematology, Myeloma Research Center of Beijing, Beijing Chao-Yang Hospital, Capital Medical University, Beijing, China.",China,2,0,1,0.5,0,0,0.031196440862950498,,"Frontiers in psychology, Transplantation and cellular therapy",2022-2025,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,25.7,29.9,Tier 3,False,False
1474,han_b,Boram Han,"Department of Internal Medicine, Hallym University Sacred Heart Hospital, Anyang, Republic of Korea.",South Korea,2,0,1,0.5,0,0,0.03123183687117585,"Adolescent, Artificial Intelligence, Ethnicity, Hematologic Neoplasms, Leukemia, Myeloid, Acute, Mutation","Medicine, Chronic diseases and translational medicine",2021-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,25.9,29.9,Tier 3,False,False
1475,park_j,Ji Yong Park,"Department of Internal Medicine, Chonnam National University Hwasun Hospital, 322 Seoyang-ro, Hwasun, Jeollanam-do 519-763, Republic of Korea.",South Korea,2,0,1,0.5,0,0,0.0314418597533257,"Adrenal Cortex Hormones, Adrenal Insufficiency, Adrenocorticotropic Hormone, Hydrocortisone, Prevalence, Retrospective Studies","BioMed research international, Annals of laboratory medicine",2021-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,26.3,29.9,Tier 3,False,False
1476,liacos_c,Christine-Ivy Liacos,"Department of Clinical Therapeutics, School of Medicine, National and Kapodistrian University of Athens, 11528 Athens, Greece.",Greece,2,0,1,0.5,0,0,0.031194717501440476,,"Biomedicines, Proteomics",2021-2026,Europe,0,27.3,26.0,25.6,44.2,26.0,25.6,29.9,Tier 3,False,False
1477,wang_k,Kai Wang,"Bristol Myers Squibb, San Diego, CA, USA.",USA,2,0,1,0.5,0,0,0.03151887509463909,"Cell Cycle, DNA Damage, DNA Repair, Genomics, Risk, Killer Cells, Natural","BMC medical genomics, PloS one",2021-2025,North America,0,27.3,26.0,25.6,44.2,26.0,26.5,29.9,Tier 3,False,False
1478,narita_k,Kentaro Narita,"Division of Hematology/Oncology, Department of Internal Medicine, Kameda Medical Center, 929 Higashi-chou, Kamogawa, 296-8602, Japan.",Japan,2,0,1,0.5,0,0,0.03027647422655129,"Bone Neoplasms, Cost of Illness, Diffusion Magnetic Resonance Imaging, Disease-Free Survival, Neoplasm Metastasis, Retrospective Studies","Scientific reports, British journal of haematology",2021-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,25.0,29.8,Tier 3,False,False
1479,ikeda_d,Daisuke Ikeda,"Division of Hematology/Oncology, Department of Internal Medicine, Kameda Medical Center, 929 Higashi-chou, Kamogawa, 296-8602, Japan.",Japan,2,0,1,0.5,0,0,0.03027647422655129,"Bone Neoplasms, Cost of Illness, Diffusion Magnetic Resonance Imaging, Disease-Free Survival, Neoplasm Metastasis, Retrospective Studies","Scientific reports, British journal of haematology",2021-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,25.0,29.8,Tier 3,False,False
1480,takeuchi_m,Masami Takeuchi,"Division of Hematology/Oncology, Department of Internal Medicine, Kameda Medical Center, 929 Higashi-chou, Kamogawa, 296-8602, Japan.",Japan,2,0,1,0.5,0,0,0.03027647422655129,"Bone Neoplasms, Cost of Illness, Diffusion Magnetic Resonance Imaging, Disease-Free Survival, Neoplasm Metastasis, Retrospective Studies","Scientific reports, British journal of haematology",2021-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,25.0,29.8,Tier 3,False,False
1481,tabata_r,Rikako Tabata,"Division of Hematology/Oncology, Department of Internal Medicine, Kameda Medical Center, 929 Higashi-chou, Kamogawa, 296-8602, Japan.",Japan,2,0,1,0.5,0,0,0.03027647422655129,"Bone Neoplasms, Cost of Illness, Diffusion Magnetic Resonance Imaging, Disease-Free Survival, Neoplasm Metastasis, Retrospective Studies","Scientific reports, British journal of haematology",2021-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,25.0,29.8,Tier 3,False,False
1482,fan_y,Yingli Fan,"Department of Cell and Developmental Biology, SUNY Upstate Medical University, Syracuse, New York, USA.",USA,2,0,1,0.5,0,0,0.030590265316005477,"Animals, Cells, Cultured, Chick Embryo, Myocytes, Cardiac, Myofibrils, Pluripotent Stem Cells","Cytoskeleton (Hoboken, N.J.), Frontiers in immunology",2021-2025,North America,0,27.3,26.0,25.6,44.2,26.0,25.4,29.8,Tier 3,False,False
1483,grasso_m,Mariella Grasso,"Struttura Complessa (SC) Ematologia, Azienda Ospedaliera (AO) S.Croce e Carle, Cuneo, Italy.",Italy,2,0,0,0.0,0,0,0.05545237769207615,"Hepatitis A Virus Cellular Receptor 2, Bone Marrow, Programmed Cell Death 1 Receptor, Neoplasm Recurrence, Local, Zoledronic Acid, T-Lymphocytes","Frontiers in immunology, The Lancet. Oncology",2022-2023,Europe,0,27.3,26.0,6.4,44.2,26.0,52.7,29.7,Tier 3,False,False
1484,khong_t,Tiffany Khong,"Malignant Haematology & Stem Cell Transplantation Service, Alfred Hospital, Melbourne, VIC 3004, Australia.",Australia,2,0,1,0.5,0,0,0.02887172123171764,"Apoptosis, Bortezomib, Cell Line, Tumor, Cell Proliferation, Chaperone-Mediated Autophagy, Drug Resistance, Neoplasm","Cells, Cancers",2021-2024,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,23.8,29.7,Tier 3,False,False
1485,gurkan_e,Emel Gurkan,"Department of Internal Medicine, Department of Hematology, Cukurova University Faculty of Medicine, Adana, Turkey.",Turkey,2,0,1,0.5,0,0,0.028299974464768007,"Creatinine, Intracellular Signaling Peptides and Proteins, Membrane Proteins, Podocytes, Proteinuria, Renal Insufficiency","Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia, British journal of haematology",2021-2024,Middle East / GCC,0,27.3,26.0,25.6,44.2,26.0,23.0,29.6,Tier 3,False,False
1486,qi_x,Xinwen Qi,"State Key Laboratory of Medicinal Chemical Biology, Key Laboratory of Bioactive, Materials, Ministry of Education, and College of Life Sciences, Nankai University, Tianjin, 300071, China.",China,2,0,1,0.5,0,0,0.028317682742142934,"Animals, Mice, Photosensitizing Agents, Serum Albumin, Bovine, Reactive Oxygen Species, Cell Line, Tumor","Advanced materials (Deerfield Beach, Fla.), Journal of visualized experiments : JoVE",2023-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,23.1,29.6,Tier 3,False,False
1487,pospisilova_l,Lenka Pospisilova,"Institute of Biostatistics and Analyses Ltd., Brno, Czech Republic.",Czech Republic,2,0,1,0.5,0,0,0.028283677937934144,"Czech Republic, Progression-Free Survival, Retrospective Studies, Registries","Clinical lymphoma, myeloma & leukemia, Haematologica",2023-2026,Europe,0,27.3,26.0,25.6,44.2,26.0,23.0,29.6,Tier 3,False,False
1488,fischer_e,Eric S Fischer,"Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, United States.",USA,2,0,0,0.0,0,0,0.05433527200858365,"Binding Sites, Casein Kinase Ialpha, Cell Line, Tumor, Cell Proliferation, Cyclic Nucleotide Phosphodiesterases, Type 6, Immunotherapy","Journal of medicinal chemistry, Cancer cell",2022-2022,North America,0,27.3,26.0,6.4,44.2,26.0,51.7,29.6,Tier 3,False,False
1489,lin_t,Ting-An Lin,"Division of Hematology, Department of Medicine, Taipei Veterans General Hospital, Taipei City, Taiwan.",Taiwan,2,0,0,0.0,0,0,0.05435954050937667,"Black People, Bortezomib, Dexamethasone, Hematologic Neoplasms, Lenalidomide, Antibodies, Monoclonal","Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie, Future oncology (London, England)",2022-2023,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,51.8,29.6,Tier 3,False,False
1490,schmidt_t,Timothy M Schmidt,"University of Wisconsin, Madison, WI.",USA,2,0,1,0.5,0,0,0.02822659880774166,"Antibodies, Monoclonal, Dexamethasone, Lenalidomide, Neoplasm, Residual, Oligopeptides, Receptors, Chimeric Antigen","Journal of clinical oncology : official journal of the American Society of Clinical Oncology, European journal of haematology",2022-2024,North America,0,27.3,26.0,25.6,44.2,26.0,22.7,29.6,Tier 3,False,False
1491,nowak_r,Radosław P Nowak,"Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, United States.",USA,2,0,0,0.0,0,0,0.05433527200858365,"Binding Sites, Casein Kinase Ialpha, Cell Line, Tumor, Cell Proliferation, Cyclic Nucleotide Phosphodiesterases, Type 6, Immunotherapy","Journal of medicinal chemistry, Cancer cell",2022-2022,North America,0,27.3,26.0,6.4,44.2,26.0,51.7,29.6,Tier 3,False,False
1492,shah_n,Nina Shah,"Bone Marrow Transplantation and Hematologic Malignancy Unit, Division of Hematology-Oncology, University of California, San Francisco, San Francisco, CA, United States.",USA,2,0,1,0.5,0,0,0.02834439188706571,"United States, Adolescent, COVID-19 Vaccines, Receptors, Chimeric Antigen, Retrospective Studies, COVID-19","Frontiers in oncology, Transplantation and cellular therapy",2021-2024,North America,0,27.3,26.0,25.6,44.2,26.0,23.2,29.6,Tier 3,False,False
1493,cuellar_c,C Cuellar,"Hematology Department, Hospital 12 de Octubre, Complutense University, CNIO, Madrid, Spain.",Spain,2,0,0,0.0,0,0,0.053578948158806664,"COVID-19, Global Health, SARS-CoV-2","Blood cancer journal, Oncology and therapy",2021-2023,Europe,0,27.3,26.0,6.4,44.2,26.0,50.9,29.5,Tier 3,False,False
1494,koyun_d,Derya Koyun,"Department of Hematology, Ankara University School of Medicine, Ankara, Turkey.",Turkey,2,0,1,0.5,0,0,0.026926358425084982,"Lenalidomide, Thalidomide, Retrospective Studies, Remission Induction, Dexamethasone, Benzylamines","Clinical lymphoma, myeloma & leukemia, Hematology/oncology and stem cell therapy",2023-2024,Middle East / GCC,0,27.3,26.0,25.6,44.2,26.0,21.5,29.5,Tier 3,False,False
1495,lai_q,Qi-Lun Lai,"Department of Neurology, Affiliated Zhejiang Hospital, School of Medicine, Zhejiang University, Hangzhou 310013, China.",China,2,0,0,0.0,0,0,0.05361889925201062,"Cryoelectron Microscopy, ADP-ribosyl Cyclase 1, Antibodies, Monoclonal, Antineoplastic Agents, Lymphoma, Non-Hodgkin, Erythrocytes","Brain sciences, Journal of hematology & oncology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,51.0,29.5,Tier 3,False,False
1496,ito_t,Tomoki Ito,First Department of Internal Medicine Kansai Medical University Osaka Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1497,hino_m,Masayuki Hino,Department of Hematology Osaka City University Graduate School of Medicine Osaka Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1498,yagi_h,Hideo Yagi,Department of Hematology and Oncology Nara Prefecture General Medical Center Nara Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1499,shimazaki_c,Chihiro Shimazaki,Department of Hematology Japan Community Health Care Organization Kyoto Kuramaguchi Medical Center Kyoto Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1500,takaorikondo_a,Akifumi Takaori-Kondo,"Department of Hematology and Oncology, Graduate School of Medicine Kyoto University Kyoto Japan.",Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1501,kuroda_j,Junya Kuroda,"Division of Hematology and Oncology, Department of Medicine Kyoto Prefectural University of Medicine Kyoto Japan.",Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1502,ohta_k,Kensuke Ohta,Hematology Ohta Clinic Shinsaibashi Osaka Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1503,fuchida_s,Shin-Ichi Fuchida,Department of Hematology Japan Community Health Care Organization Kyoto Kuramaguchi Medical Center Kyoto Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1504,kaneko_h,Hitomi Kaneko,Department of Hematology Japanese Red Cross Osaka Hospital Osaka Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1505,kanda_j,Junya Kanda,"Department of Hematology and Oncology, Graduate School of Medicine Kyoto University Kyoto Japan.",Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1506,tanaka_h,Hirokazu Tanaka,Department of Hematology and Rheumatology Kindai University Faculty of Medicine Osaka Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1507,kosugi_s,Satoru Kosugi,Department of Internal Medicine (Hematology) Toyonaka Municipal Hospital Osaka Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1508,xu_d,D R Xu,"Department of Hematology, The First Affiliated Hospital, Sun Yat-sen University, Guangzhou, Guangdong 510080, China.",China,2,0,1,0.5,0,0,0.026805439986545786,"Hematopoietic Stem Cell Transplantation, Retrospective Studies, Induction Chemotherapy, Liposomes, Disease-Free Survival, Transplantation, Autologous","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, European journal of medicinal chemistry",2022-2025,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,21.1,29.4,Tier 3,False,False
1509,shibayama_h,Hirohiko Shibayama,Department of Hematology and Oncology Osaka University Graduate School of Medicine Osaka Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1510,uoshima_n,Nobuhiko Uoshima,Department of Hematology Japanese Red Cross Kyoto Daini Hospital Kyoto Japan.,Japan,2,0,0,0.0,0,0,0.053424017871907786,,"EJHaem, Therapeutic advances in hematology",2021-2022,Asia-Pacific,0,27.3,26.0,6.4,44.2,26.0,50.3,29.4,Tier 3,False,False
1511,lu_l,Lu Lu,"Department of Cardiology, Beijing Huai-Rou Hospital, Beijing, China.",China,2,0,1,0.5,0,0,0.025524806656905385,"Antibodies, Monoclonal, Dexamethasone, Thalidomide, Bortezomib, Recurrence, Lenalidomide","Frontiers in psychology, Zhongguo shi yan xue ye xue za zhi",2022-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,19.9,29.3,Tier 3,False,False
1512,toscani_d,Denise Toscani,"Department of Medicine and Surgery, University of Parma, 43126 Parma, Italy.",Italy,2,0,1,0.5,0,0,0.026706231454005934,"Bone Marrow, Plasma Cells, Paraproteinemias, Monoclonal Gammopathy of Undetermined Significance, Tumor Microenvironment","International journal of molecular sciences, Annals of hematology",2022-2026,Europe,0,27.3,26.0,25.6,44.2,26.0,20.3,29.3,Tier 3,False,False
1513,dou_x,Xiaobing Dou,"School of Life Science, Zhejiang Chinese Medical University, Hangzhou 310053, China.",China,2,0,1,0.5,0,0,0.02541430680105119,"Animals, Mice, STAT3 Transcription Factor, Signal Transduction, Melanoma, Flavones","Phytomedicine : international journal of phytotherapy and phytopharmacology, Journal of thrombosis and thrombolysis",2023-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,19.6,29.3,Tier 3,False,False
1514,gupta_a,Anshul Gupta,"Department of Hematology, Sanjay Gandhi Post Graduate Institute of Medical Sciences, Lucknow, U.P. 226014 India.",India,2,0,1,0.5,0,0,0.024582007083717862,,"Indian journal of clinical biochemistry : IJCB, Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion",2022-2026,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,18.7,29.2,Tier 3,False,False
1515,leng_y,Yun Leng,"Department of Hematology, Beijing Chao-Yang Hospital, Capital Medical University, Beijing, 100020, China.",China,2,0,1,0.5,0,0,0.02524533391637216,"Hematopoietic Stem Cell Transplantation, Retrospective Studies, Transplantation, Autologous, Prognosis, Stem Cell Transplantation","BMC cancer, Transplantation and cellular therapy",2022-2025,Asia-Pacific,0,27.3,26.0,25.6,44.2,26.0,19.0,29.2,Tier 3,False,False
1516,costa_g,Giosuè Costa,"Dipartimento di Scienze della Salute, Università ""Magna Græcia"" di Catanzaro, Campus ""S. Venuta"", 88100 Catanzaro, Italy.",Italy,2,0,1,0.5,0,0,0.02439045841230471,,"Pharmaceuticals (Basel, Switzerland), International journal of biological macromolecules",2023-2026,Europe,0,27.3,26.0,25.6,44.2,26.0,17.8,29.1,Tier 3,False,False
